epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
166,479229,10000000,11.835194,0.385375,0.636084,0.868424,0.898195,0.902245
167,493374,10000000,12.016756,0.372768,0.592473,0.860516,0.903617,0.908056
168,487804,10000000,11.957446,0.376077,0.609054,0.864265,0.901913,0.905837
169,484812,10000000,11.847856,0.379836,0.615486,0.867258,0.902047,0.906949
170,475527,10000000,12.205709,0.391477,0.654177,0.864506,0.888379,0.892050
171,496044,10000000,12.050989,0.373662,0.594240,0.859121,0.901345,0.906043
172,501276,10000000,12.120305,0.368246,0.571807,0.854842,0.904777,0.909447
173,479732,10000000,11.878157,0.386728,0.637566,0.868506,0.896997,0.901685
174,492600,10000000,11.940298,0.377132,0.604326,0.863366,0.902178,0.906056
175,478544,10000000,11.900977,0.388526,0.641972,0.869521,0.896260,0.900212
176,491995,10000000,11.933444,0.376750,0.606774,0.864988,0.902442,0.907794
177,494404,10000000,11.991533,0.375962,0.594665,0.861318,0.902098,0.906791
178,485923,10000000,11.706519,0.381855,0.621010,0.868755,0.901995,0.907489
179,482586,10000000,11.919059,0.387792,0.639807,0.867808,0.895990,0.899968
180,473297,10000000,11.780833,0.395709,0.660317,0.870648,0.894077,0.900595
181,478967,10000000,12.049803,0.390359,0.648554,0.868001,0.893512,0.897183
182,475577,10000000,11.992987,0.396209,0.663430,0.867653,0.890903,0.895075
183,496905,10000000,11.976692,0.375907,0.595071,0.862674,0.902768,0.907805
184,483012,10000000,11.862407,0.386669,0.635026,0.869558,0.898593,0.902580
185,471547,10000000,11.941113,0.403234,0.679521,0.868522,0.889061,0.892817
186,473894,10000000,11.690439,0.399627,0.672577,0.871914,0.894941,0.899226
187,483681,10000000,11.794848,0.387685,0.637949,0.870224,0.898863,0.903159
188,483974,10000000,11.865224,0.386484,0.636941,0.868716,0.897579,0.901631
189,486789,10000000,11.899983,0.384972,0.628597,0.867435,0.898235,0.902485
190,472702,10000000,11.847354,0.400722,0.674842,0.870673,0.892431,0.898160
191,485890,10000000,11.714944,0.385462,0.633119,0.870913,0.901706,0.906080
192,474324,10000000,11.956951,0.401867,0.677014,0.867835,0.888899,0.893429
193,474641,10000000,11.697590,0.398476,0.667976,0.872133,0.895024,0.900205
194,474463,10000000,11.828758,0.400333,0.674080,0.870576,0.891943,0.896192
195,439015,10000001,12.417701,0.524130,0.778584,0.842898,0.853073,0.863898
196,265785,10000000,15.251512,0.616397,0.731715,0.775883,0.796362,0.805106
197,248626,10000000,15.375029,0.633067,0.735736,0.774738,0.794229,0.803042
198,260207,10000000,14.884830,0.627643,0.739415,0.782024,0.803068,0.812668
199,258016,10000000,15.256577,0.624992,0.734028,0.775448,0.795179,0.804826
200,250416,10000000,15.347266,0.633170,0.734302,0.773908,0.792861,0.802904
201,238903,10000000,15.942943,0.630465,0.725742,0.762217,0.780321,0.792627
202,264240,10000001,15.507849,0.618320,0.729295,0.771757,0.792325,0.801018
