benchmark,page_bytes,word_bytes,mean_touched_frac,p_le_25pct,wasted_frac,pages
tc,4096,1024,0.876728,0.064891,0.123272,741660
tc,4096,2048,0.936305,0.000000,0.063695,741660
tc,8192,64,0.652496,0.137486,0.347504,395661
tc,8192,128,0.677204,0.123214,0.322796,395661
tc,8192,256,0.718124,0.105530,0.281876,395661
tc,8192,512,0.759848,0.082935,0.240152,395661
tc,8192,1024,0.821706,0.056379,0.178294,395661
tc,8192,2048,0.877544,0.040138,0.122456,395661
tc,8192,4096,0.937242,0.000000,0.062758,395661
tc,16384,64,0.623933,0.176140,0.376067,206887
tc,16384,128,0.647560,0.161866,0.352440,206887
tc,16384,256,0.686688,0.143595,0.313312,206887
tc,16384,512,0.726586,0.122908,0.273414,206887
tc,16384,1024,0.785735,0.105710,0.214265,206887
tc,16384,2048,0.839130,0.094109,0.160870,206887
tc,16384,4096,0.896214,0.067578,0.103786,206887
tc,65536,64,0.591725,0.206410,0.408275,54537
tc,65536,128,0.614132,0.192456,0.385868,54537
tc,65536,256,0.651241,0.172030,0.348759,54537
tc,65536,512,0.689079,0.147184,0.310921,54537
tc,65536,1024,0.745175,0.133322,0.254825,54537
tc,65536,2048,0.795813,0.131434,0.204187,54537
tc,65536,4096,0.849950,0.099162,0.150050,54537
tc,262144,64,0.559870,0.226926,0.440130,14410
tc,262144,128,0.581071,0.212977,0.418929,14410
tc,262144,256,0.616182,0.193546,0.383818,14410
tc,262144,512,0.651983,0.169743,0.348017,14410
tc,262144,1024,0.705059,0.158015,0.294941,14410
tc,262144,2048,0.752971,0.157113,0.247029,14410
tc,262144,4096,0.804194,0.122693,0.195806,14410
tc,2097152,64,0.500976,0.282166,0.499024,2013
tc,2097152,128,0.519947,0.270243,0.480053,2013
tc,2097152,256,0.551365,0.252360,0.448635,2013
tc,2097152,512,0.583400,0.231992,0.416600,2013
tc,2097152,1024,0.630893,0.220070,0.369107,2013
tc,2097152,2048,0.673765,0.218579,0.326235,2013
tc,2097152,4096,0.719600,0.184302,0.280400,2013
